Year,Series,Measure,Sector,Geopolitical Zone,State,Units,GeoCode,Value
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Number of Poor,,,Imo,Millions,NGIM16,1.8
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Number of Poor,,,Jigawa,Millions,NGJI17,5.76
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Number of Poor,,,Kaduna,Millions,NGKD18,8.04
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Number of Poor,,,Kano,Millions,NGKN19,10.51
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Number of Poor,,,Katsina,Millions,NGKT20,6.92
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Number of Poor,,,Kebbi,Millions,NGKE21,4.28
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Number of Poor,,,Kogi,Millions,NGKO22,2.88
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Number of Poor,,,Kwara,Millions,NGKW23,1.72
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Number of Poor,,,Lagos,Millions,NGLA24,4.22
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Number of Poor,,,Nasarawa,Millions,NGNA25,1.36
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Number of Poor,,,Niger,Millions,NGNI26,3.6
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Number of Poor,,,Ogun,Millions,NGOG27,3.78
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Number of Poor,,,Ondo,Millions,NGON28,1.3
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Number of Poor,,,Osun,Millions,NGOS29,1.88
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Number of Poor,,,Oyo,Millions,NGOY30,3.79
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Number of Poor,,,Plateau,Millions,NGPL31,4.32
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Number of Poor,,,Rivers,Millions,NGRI32,4.4
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Number of Poor,,,Sokoto,Millions,NGSO33,5.81
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Number of Poor,,,Taraba,Millions,NGTA34,2.81
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Number of Poor,,,Yobe,Millions,NGYO35,3.23
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Number of Poor,,,Zamfara,Millions,NGZA36,4.17
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Number of Poor,,,Federal Capital Territory,Millions,NGFC37,1.59
