Indicator
#1-4-1
#1-4-2
#2-2-1
#3-b-3
#4-1-2
#4-2-1
#4-2-2
#4-3-1
#4-4-1
#4-5-1
#4-6-1
#4-a-1
#5-2-1
#5-2-2
#5-3-2
#5-6-1
#5-a-1
#5-b-1
#6-1-1
#6-2-1
#6-b-1
