Value,Disaggregation combinations using this value,Number of indicators
Full Year,4,1
Half Year,4,1
Q1 2023,12,2
Q1 2024,16,2
Q2 2023,16,2
Q2 2024,16,2
Q3 2023,16,2
Q4 2022,12,2
