Indicator
#1-1-1
#2-2-1
#2-2-2
#2-2-3
#3-1-1
#3-3-1
#3-3-4
#3-7-1
#3-a-1
#4-3-1
#4-4-1
#5-2-1
#5-2-2
#5-3-2
#5-a-1
