Year,Series,Units,Value
2017,Annual growth rate of real GDP per employed person,Percentage (%),-1.83
2018,Annual growth rate of real GDP per employed person,Percentage (%),-0.73
2019,Annual growth rate of real GDP per employed person,Percentage (%),-0.49
2020,Annual growth rate of real GDP per employed person,Percentage (%),-4.22
2021,Annual growth rate of real GDP per employed person,Percentage (%),0.49
2022,Annual growth rate of real GDP per employed person,Percentage (%),-1.31
2023,Annual growth rate of real GDP per employed person,Percentage (%),-2.33
2024,Annual growth rate of real GDP per employed person,Percentage (%),0.45
