Indicator
#10-2-1
#10-7-1
#11-2-1
#11-3-2
#11-4-1
#11-5-1
#11-5-3
#11-6-1
#11-7-1
#12-2-1
#12-3-1
#12-4-2
#12-5-1
#12-7-1
#12-b-1
#13-b-1
#14-3-1
#14-a-1
#15-3-1
#15-7-1
#15-b-1
#15-c-1
#16-1-2
#16-1-3
#16-10-1
#16-3-1
#16-5-2
#16-6-2
#16-7-1
#16-7-2
#17-14-1
#17-15-1
#17-18-1
#17-3-1
#17-6-1
#17-7-1
#2-3-2
#2-5-1
#2-5-2
#3-9-3
#3-b-2
#3-d-1
#5-4-1
#6-4-1
#6-5-2
#6-6-1
#8-4-2
#8-5-1
#8-6-1
#8-8-1
#9-1-1
#9-5-2
