Indicator
#1-3-1
#3-2-1
#3-2-2
#3-3-1
#3-3-4
#3-4-2
#3-9-1
#3-9-2
#3-a-1
#3-b-1
#4-1-1
#4-1-2
#4-2-1
#4-2-2
#4-3-1
#4-4-1
#4-6-1
#4-c-1
#5-b-1
