Year,Series,Units,Value
2016,Proportion of local governments that adopt and implement local disaster risk,Percentage (%),16.28
2017,Proportion of local governments that adopt and implement local disaster risk,Percentage (%),17.83
2018,Proportion of local governments that adopt and implement local disaster risk,Percentage (%),20.28
2019,Proportion of local governments that adopt and implement local disaster risk,Percentage (%),23.26
2020,Proportion of local governments that adopt and implement local disaster risk,Percentage (%),23.26
2021,Proportion of local governments that adopt and implement local disaster risk,Percentage (%),24.16
2022,Proportion of local governments that adopt and implement local disaster risk,Percentage (%),27.26
2023,Proportion of local governments that adopt and implement local disaster risk,Percentage (%),27.13
2024,Proportion of local governments that adopt and implement local disaster risk,Percentage (%),26.87
