Indicator
#1-1-1
#1-2-1
#3-1-1
#3-1-2
#3-3-3
#3-3-4
#3-b-3
#5-2-1
#5-2-2
#5-3-1
#5-3-2
#5-5-1
#5-5-2
#5-6-1
#5-a-1
#5-b-1
#6-1-1
#6-2-1
#6-3-1
#6-3-2
#6-a-1
#6-b-1
