Indicator
#1-3-1
#2-1-2
#3-1-2
#3-2-1
#3-2-2
#3-7-1
#3-7-2
#3-b-1
#4-1-2
#4-2-1
#4-2-2
#4-3-1
#4-4-1
#4-5-1
#4-6-1
#5-3-2
#5-b-1
