Value,Disaggregation combinations using this value,Number of indicators
Edo,48,17
Fulani,48,17
Hausa,49,17
Ibibio,48,17
Igbo,49,17
Ijaw,48,17
Kanuri,48,17
Other ethnic group,1,1
Other ethnicity,48,16
Tiv,48,17
Yoruba,49,17
