Year,Series,Units,Value
2016,Prevalence of undernourishment,Percentage (%),10.70
2017,Prevalence of undernourishment,Percentage (%),11.30
2018,Prevalence of undernourishment,Percentage (%),11.80
2019,Prevalence of undernourishment,Percentage (%),13.60
2020,Prevalence of undernourishment,Percentage (%),15.10
2021,Prevalence of undernourishment,Percentage (%),17.00
2022,Prevalence of undernourishment,Percentage (%),18.00
