Year,Series,Units,Value
2016,Total greenhouse gas emissions per year,kt of CO2 equivalent,307195.07
2017,Total greenhouse gas emissions per year,kt of CO2 equivalent,311186.00
2018,Total greenhouse gas emissions per year,kt of CO2 equivalent,320860.80
2019,Total greenhouse gas emissions per year,kt of CO2 equivalent,332247.00
2020,Total greenhouse gas emissions per year,kt of CO2 equivalent,322336.50
