Year,Series,Age group,Value
2018,Proportion of young women and men aged 18–29 years who experienced sexual violence by age 18,,4.4
2018,Proportion of young women and men aged 18–29 years who experienced sexual violence by age 19,20-24,5.9
2018,Proportion of young women and men aged 18–29 years who experienced sexual violence by age 20,25-29,3.5
2024,Proportion of young women and men aged 18–29 years who experienced sexual violence by age 18,,1.9
2024,Proportion of young women and men aged 18–29 years who experienced sexual violence by age 19,20-24,2
2024,Proportion of young women and men aged 18–29 years who experienced sexual violence by age 20,25-29,2.2
