Year,Series,Gender,Sector,Discrimination,Education level,Ethnicity,Wealth Index Quintile,Geopolitical zone,State,Age group,GeoCode,Value
2021,,Male,,Ethnic or immigration origin,,,,,Sokoto,,NGSO33,0.3
2021,,Male,,Ethnic or immigration origin,,,,,Taraba,,NGTA34,18.6
2021,,Male,,Ethnic or immigration origin,,,,,Yobe,,NGYO35,25.4
2021,,Male,,Ethnic or immigration origin,,,,,Zamfara,,NGZA36,14.3
2021,,Male,,Ethnic or immigration origin,,,,,Federal Capital Territory,,NGFC37,40.1
2021,,Male,,Gender,,,,,,,NG,4.9
2021,,Male,Urban,Gender,,,,,,,NG,4.5
2021,,Male,Rural,Gender,,,,,,,NG,5.3
2021,,Male,,Gender,,,,,,15-19,NG,4.4
2021,,Male,,Gender,,,,,,15-17,NG,4.1
2021,,Male,,Gender,,,,,,18-19,NG,4.9
2021,,Male,,Gender,,,,,,20-24,NG,4.9
2021,,Male,,Gender,,,,,,25-29,NG,6.1
2021,,Male,,Gender,,,,,,30-34,NG,4.6
2021,,Male,,Gender,,,,,,35-39,NG,5.1
2021,,Male,,Gender,,,,,,40-44,NG,5.8
2021,,Male,,Gender,,,,,,45-49,NG,4.1
2021,,Male,,Gender,None,,,,,,NG,6.4
2021,,Male,,Gender,Primary,,,,,,NG,5.4
2021,,Male,,Gender,Junior secondary,,,,,,NG,3.7
2021,,Male,,Gender,Senior secondary,,,,,,NG,3.8
2021,,Male,,Gender,Higher/tertiary,,,,,,NG,6.5
2021,,Male,,Gender,,Hausa,,,,,NG,6.8
2021,,Male,,Gender,,Igbo,,,,,NG,3.1
2021,,Male,,Gender,,Yoruba,,,,,NG,1.4
2021,,Male,,Gender,,Fulani,,,,,NG,6.7
2021,,Male,,Gender,,Kanuri,,,,,NG,11.9
2021,,Male,,Gender,,Ijaw,,,,,NG,10.9
2021,,Male,,Gender,,Tiv,,,,,NG,1.8
2021,,Male,,Gender,,Ibibio,,,,,NG,4.2
2021,,Male,,Gender,,Edo,,,,,NG,2.7
2021,,Male,,Gender,,Other ethnicity,,,,,NG,5.4
2021,,Male,,Gender,,,Poorest,,,,NG,6.0
2021,,Male,,Gender,,,Second,,,,NG,5.4
2021,,Male,,Gender,,,Middle,,,,NG,4.6
2021,,Male,,Gender,,,Fourth,,,,NG,3.8
2021,,Male,,Gender,,,Richest,,,,NG,5.2
2021,,Male,,Gender,,,,North  Central,,,NGNCZ06,4.4
2021,,Male,,Gender,,,,North East,,,NGNEZ05,6.5
2021,,Male,,Gender,,,,North West,,,NGNWZ04,6.9
2021,,Male,,Gender,,,,South East,,,NGSEZ03,3.5
2021,,Male,,Gender,,,,South South,,,NGSSZ02,7.0
2021,,Male,,Gender,,,,South West,,,NGSWZ01,0.9
