Year,Series,Sector,Age group,Education level,Geopolitical zone,Wealth Index Quintile,State,Gender,Units,GeoCode,Value
2018,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,,,,Kwara,Female,Percentage (%),NGKW23,0.2
2018,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,,,,Lagos,Female,Percentage (%),NGLA24,1.2
2018,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,,,,Nasarawa,Female,Percentage (%),NGNA25,6.3
2018,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,,,,Niger,Female,Percentage (%),NGNI26,1.7
2018,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,,,,Ogun,Female,Percentage (%),NGOG27,2.7
2018,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,,,,Ondo,Female,Percentage (%),NGON28,13.1
2018,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,,,,Osun,Female,Percentage (%),NGOS29,1.4
2018,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,,,,Oyo,Female,Percentage (%),NGOY30,0.4
2018,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,,,,Plateau,Female,Percentage (%),NGPL31,4
2018,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,,,,Rivers,Female,Percentage (%),NGRI32,2.3
2018,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,,,,Sokoto,Female,Percentage (%),NGSO33,0.4
2018,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,,,,Taraba,Female,Percentage (%),NGTA34,1.3
2018,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,,,,Yobe,Female,Percentage (%),NGYO35,2.7
2018,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,,,,Zamfara,Female,Percentage (%),NGZA36,4.1
2018,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,,,,Federal Capital Territory,Female,Percentage (%),NGFC37,1.3
2018,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,,,,,,,Percentage (%),NG,20.8
2018,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",Urban,,,,,,,Percentage (%),NG,18.1
2018,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",Rural,,,,,,,Percentage (%),NG,22.8
2018,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,15-19,,,,,,Percentage (%),NG,12.5
2018,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,20-24,,,,,,Percentage (%),NG,20.5
2018,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,25-29,,,,,,Percentage (%),NG,18.5
2018,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,30-34,,,,,,Percentage (%),NG,19.9
2018,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,35-39,,,,,,Percentage (%),NG,20.5
