Year,Series,Gender,Circumcision status,Number of sexual partners,Age group,Units,Value
2018,"Hepatitis B incidence per 100,000 population",,,,50-54 ,Percentage (%),6.30
2018,"Hepatitis B incidence per 100,000 population",,,,55-59,Percentage (%),2.50
2018,"Hepatitis B incidence per 100,000 population",,,,60-64,Percentage (%),3.80
2018,"Hepatitis B incidence per 100,000 population",,,,15-24,Percentage (%),8.20
2018,"Hepatitis B incidence per 100,000 population",,,,15-49,Percentage (%),8.60
2018,"Hepatitis B incidence per 100,000 population",,,,15-64,Percentage (%),8.10
2018,"Hepatitis B incidence per 100,000 population",,,Zero,,Number,3280
2018,"Hepatitis B incidence per 100,000 population",,,One,,Number,5965
2018,"Hepatitis B incidence per 100,000 population",,,Two or more ,,Number,1106
2018,"Hepatitis B incidence per 100,000 population",,,,15-19 ,Number,1047
2018,"Hepatitis B incidence per 100,000 population",,,,20-24 ,Number,1279
2018,"Hepatitis B incidence per 100,000 population",,,,25-29 ,Number,1593
2018,"Hepatitis B incidence per 100,000 population",,,,30-34 ,Number,1448
2018,"Hepatitis B incidence per 100,000 population",,,,35-39 ,Number,1386
2018,"Hepatitis B incidence per 100,000 population",,,,40-44 ,Number,1118
2018,"Hepatitis B incidence per 100,000 population",,,,45-49 ,Number,811
2018,"Hepatitis B incidence per 100,000 population",,,,50-54 ,Number,749
2018,"Hepatitis B incidence per 100,000 population",,,,55-59,Number,456
2018,"Hepatitis B incidence per 100,000 population",,,,60-64,Number,551
2018,"Hepatitis B incidence per 100,000 population",,,,15-24,Number,2326
2018,"Hepatitis B incidence per 100,000 population",,,,15-49,Number,8682
2018,"Hepatitis B incidence per 100,000 population",,,,15-64,Number,10438
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
45-49 ,50-54 ,,55-59,60-64,,,
5.9,6.3,,2.5,3.8,,,
