Year,Series,Units,Value
2016,Net ODA received (% of GNI),Percentage (%),0.63
2017,Net ODA received (% of GNI),Percentage (%),0.91
2018,Net ODA received (% of GNI),Percentage (%),0.80
2019,Net ODA received (% of GNI),Percentage (%),0.70
2020,Net ODA received (% of GNI),Percentage (%),0.79
2021,Net ODA received (% of GNI),Percentage (%),0.82
2022,Net ODA received (% of GNI),Percentage (%),0.97
