Year,Series,Units,Value
2020,Annual growth rate of real GDP per capita,Percentage (%),-26.91
2021,Annual growth rate of real GDP per capita,Percentage (%),-9.46
2022,Annual growth rate of real GDP per capita,Percentage (%),-4.38
2023,Annual growth rate of real GDP per capita,Percentage (%),-33.34
2024,Annual growth rate of real GDP per capita,Percentage (%),-55.89
